,I1,C2,data_updated,C3_prime,industry_bin__Manufacturing,industry_bin__Other,industry_bin__Services
0,AATI,1.0,0,1,1,0,0
1,ABPI,0.0,0,0,1,0,0
2,ACAD,1.0,0,0,1,0,0
3,ACHN,1.0,0,0,1,0,0
4,ACLI,1.0,0,1,0,1,0
5,ACOM,1.0,0,1,0,0,1
6,ACOR,1.0,0,0,1,0,0
7,ACRX,0.0,1,0,1,0,0
8,ACTV,1.0,0,0,0,0,1
9,ACW,1.0,0,1,1,0,0
11,ADLS,1.0,0,0,1,0,0
12,ADZA,1.0,0,1,1,0,0
13,AFFY,1.0,0,0,1,0,0
14,AGAM,1.0,0,1,1,0,0
15,AH,1.0,0,1,0,0,1
16,AHII,1.0,0,1,0,1,0
17,AIMC,1.0,0,1,1,0,0
18,AIRV,1.0,0,1,1,0,0
19,ALGT,1.0,0,1,0,1,0
20,ALIM,1.0,1,0,1,0,0
21,ALJ,1.0,0,1,1,0,0
22,ALLI,1.0,0,0,0,0,1
23,ALNY,1.0,0,0,1,0,0
24,ALTU,1.0,0,0,1,0,0
25,ALXA,1.0,0,0,1,0,0
26,AMBA,1.0,0,1,1,0,0
27,AMIS,1.0,0,0,1,0,0
28,AMRC,1.0,0,1,0,1,0
29,ANAC,1.0,0,0,1,0,0
30,ANFI,1.0,0,1,1,0,0
31,ANGI,1.0,0,0,0,0,1
32,ANGO,0.0,0,1,1,0,0
33,AONE,1.0,0,0,1,0,0
34,AOSL,1.0,0,0,1,0,0
35,APEI,1.0,0,1,0,0,1
36,APKT,1.0,0,0,1,0,0
37,ARAY,1.0,0,0,1,0,0
38,ARBX,1.0,0,1,0,0,1
39,ARCL,1.0,0,1,0,0,1
40,ARCO,1.0,0,1,0,1,0
41,AREX,1.0,0,1,0,1,0
42,ARII,1.0,0,1,1,0,0
43,ARP,1.0,1,0,0,0,1
44,ARST,1.0,0,0,0,0,1
45,ARTE,1.0,1,0,1,0,0
46,ARUN,1.0,0,0,1,0,0
47,ASPV,1.0,1,0,1,0,0
48,ATEC,1.0,0,0,1,0,0
49,ATHN,1.0,0,0,0,0,1
50,ATRC,1.0,0,0,1,0,0
51,AUXL,1.0,0,0,1,0,0
52,AVAV,1.0,0,1,1,0,0
53,AVEO,1.0,0,0,1,0,0
54,AVGO,1.0,0,1,1,0,0
55,AVNC,1.0,1,0,1,0,0
56,AVR,1.0,0,1,1,0,0
57,AVRX,0.0,0,0,1,0,0
58,AWAY,1.0,0,1,0,0,1
59,AWK,1.0,0,0,0,1,0
60,AYR,1.0,0,0,0,0,1
61,BAGL,1.0,0,0,0,1,0
62,BAH,1.0,0,0,0,0,1
63,BALT,1.0,1,0,0,1,0
64,BARE,1.0,0,1,1,0,0
65,BAS,1.0,0,1,0,1,0
66,BBBB,1.0,0,0,0,0,1
67,BBG,1.0,0,0,0,1,0
68,BBND,1.0,0,1,1,0,0
69,BBRG,1.0,0,1,0,1,0
70,BBW,1.0,0,1,0,1,0
71,BCOV,1.0,0,0,0,0,1
72,BDAY,0.0,0,0,0,1,0
73,BDE,0.0,0,1,0,1,0
74,BEAT,1.0,0,1,0,0,1
75,BECN,1.0,0,1,0,1,0
76,BFAM,1.0,0,1,0,0,1
77,BFRM,1.0,0,0,1,0,0
78,BHRT,0.0,1,0,0,0,1
79,BIOD,1.0,1,0,1,0,0
80,BIOF,1.0,1,0,1,0,0
81,BKC,1.0,0,1,0,1,0
82,BKRS,0.0,0,1,0,1,0
83,BLMN,1.0,0,1,0,1,0
84,BLOG,1.0,0,0,0,0,1
85,BLSW,0.0,0,0,0,0,1
87,BMTI,1.0,0,0,1,0,0
88,BNNY,1.0,0,1,1,0,0
89,BODY,1.0,0,1,0,1,0
90,BOX,1.0,0,0,0,0,1
91,BPI,1.0,0,1,0,0,1
92,BRNC,0.0,0,0,0,1,0
93,BSFT,1.0,0,1,0,0,1
94,BTRX,1.0,0,0,1,0,0
95,BUN,0.0,0,1,0,1,0
96,BV,1.0,0,0,0,0,1
97,BWLD,0.0,0,1,0,1,0
98,BWTR,0.0,0,1,0,1,0
99,BWY,1.0,0,1,1,0,0
100,CAB,1.0,0,1,0,1,0
101,CABG,0.0,1,0,1,0,0
102,CADX,1.0,1,0,1,0,0
103,CALD,1.0,0,0,0,0,1
104,CALL,1.0,0,1,0,1,0
105,CALX,1.0,0,0,1,0,0
106,CAP,1.0,1,1,0,0,1
107,CARB,1.0,0,0,0,0,1
108,CATM,1.0,0,0,0,0,1
109,CBEY,1.0,0,0,0,1,0
110,CBOU,1.0,0,0,0,1,0
111,CCO,1.0,0,0,0,0,1
112,CDL,1.0,0,0,0,1,0
113,CDM,0.0,1,0,0,0,1
114,CE,1.0,0,0,1,0,0
116,CEMP,0.0,1,0,1,0,0
117,CENF,1.0,0,1,0,1,0
118,CERE,1.0,0,0,0,1,0
119,CF,1.0,0,1,1,0,0
120,CFX,1.0,0,1,1,0,0
121,CGTK,1.0,0,0,1,0,0
122,CHEF,1.0,0,1,0,1,0
124,CLAY,1.0,0,1,0,0,1
125,CLD,1.0,1,1,0,1,0
126,CLU,1.0,0,1,1,0,0
127,CLUB,1.0,0,1,0,0,1
128,CLWR,1.0,0,0,0,1,0
129,CML,1.0,0,0,0,0,1
130,CMP,1.0,0,1,0,1,0
131,CNSL,1.0,0,0,0,1,0
132,CNVO,0.0,0,0,0,0,1
133,CNVX,1.0,1,0,1,0,0
134,COGT,1.0,0,1,0,0,1
135,COLY,1.0,0,0,1,0,0
136,COMV,1.0,0,0,1,0,0
137,CONN,0.0,0,1,0,1,0
138,CONR,1.0,1,0,1,0,0
139,CORT,1.0,1,0,1,0,0
140,CPII,1.0,0,1,1,0,0
141,CPIX,1.0,0,1,1,0,0
142,CPX,1.0,0,1,0,1,0
143,CRDC,0.0,0,0,1,0,0
144,CREL,1.0,0,0,0,0,1
145,CRI,1.0,0,1,1,0,0
146,CRMH,1.0,0,1,0,1,0
147,CROX,1.0,0,1,1,0,0
148,CRU,1.0,0,1,0,1,0
149,CRYO,0.0,0,0,1,0,0
150,CSCD,1.0,0,0,1,0,0
151,CSIQ,1.0,0,1,1,0,0
152,CSTE,1.0,0,1,1,0,0
153,CTCT,1.0,0,0,0,0,1
154,CTP,0.0,0,1,0,0,1
155,CTRN,1.0,0,1,0,1,0
156,CVGI,1.0,0,1,1,0,0
157,CVI,1.0,0,1,1,0,0
158,CXO,1.0,0,1,0,1,0
159,CYNO,1.0,0,1,1,0,0
160,CYTK,1.0,0,0,1,0,0
161,CZR,1.0,0,0,0,0,1
162,DBTK,1.0,0,0,0,0,1
163,DCIN,0.0,0,0,0,0,1
164,DCP,1.0,0,1,0,0,1
165,DDMG,0.0,0,0,0,0,1
166,DDUP,1.0,0,0,1,0,0
167,DEEP,1.0,0,1,0,1,0
168,DEIX,1.0,0,0,1,0,0
169,DEX,1.0,0,0,1,0,0
170,DG,1.0,1,0,0,1,0
171,DHX,1.0,0,1,0,0,1
172,DIVX,1.0,1,0,0,0,1
173,DK,1.0,0,1,0,1,0
174,DLB,1.0,0,1,1,0,0
175,DM,1.0,0,0,1,0,0
176,DMAN,1.0,0,0,0,0,1
177,DMD,1.0,1,0,0,0,1
178,DMED,0.0,0,1,1,0,0
179,DMND,1.0,0,1,1,0,0
180,DNKN,1.0,0,1,0,1,0
181,DOLE,1.0,0,1,0,1,0
182,DPZ,1.0,0,0,0,1,0
183,DRC,1.0,0,1,1,0,0
184,DRTX,1.0,1,0,1,0,0
185,DSUP,0.0,0,0,1,0,0
186,DSW,1.0,0,0,0,1,0
187,DTSI,0.0,0,1,0,1,0
188,DVAX,1.0,0,0,1,0,0
189,DVOX,1.0,0,1,0,0,1
190,DVR,1.0,0,1,0,1,0
191,DWA,1.0,0,0,0,0,1
192,DWRE,1.0,0,0,0,0,1
193,DWRI,1.0,0,1,0,1,0
194,DXCM,1.0,1,0,1,0,0
195,DYP,1.0,0,1,1,0,0
196,EBS,1.0,0,1,1,0,0
197,ECHO,1.0,0,1,0,1,0
198,ECYT,1.0,0,1,1,0,0
199,EDG,1.0,1,0,0,1,0
200,EDMC,1.0,0,1,0,0,1
201,EEEE,1.0,0,1,0,0,1
202,EGLT,1.0,0,1,1,0,0
204,ELOQ,1.0,0,0,0,0,1
205,EM,1.0,0,1,0,0,1
206,EMAG,1.0,0,0,0,0,1
207,ENPH,1.0,0,0,1,0,0
208,ENSG,0.0,0,1,0,0,1
209,ENTA,1.0,0,1,1,0,0
210,ENTR,1.0,0,0,1,0,0
211,ENV,1.0,0,0,0,0,1
212,EPAM,1.0,0,1,0,0,1
213,EPOC,1.0,0,1,0,0,1
214,ERII,1.0,0,1,1,0,0
216,ETRM,1.0,1,0,1,0,0
218,EVVV,1.0,0,0,1,0,0
219,EXA,0.0,0,1,0,0,1
220,EXAM,1.0,0,0,0,0,1
221,EXLS,1.0,0,1,0,1,0
222,EXPR,1.0,0,0,0,1,0
223,EYET,1.0,0,0,1,0,0
224,FACE,1.0,0,1,1,0,0
225,FANG,1.0,0,0,0,1,0
226,FB,1.0,0,1,0,0,1
227,FCL,1.0,0,1,0,1,0
228,FFN,0.0,0,0,0,0,1
229,FIO,1.0,0,0,1,0,0
230,FIRE,1.0,0,0,0,0,1
231,FIVE,1.0,0,1,0,1,0
232,FLT,1.0,0,1,0,0,1
233,FLTX,1.0,0,1,0,0,1
234,FN,1.0,0,1,1,0,0
235,FNET,0.0,0,1,1,0,0
236,FOLD,1.0,1,0,1,0,0
237,FOXH,1.0,0,0,1,0,0
238,FRAN,1.0,0,1,0,1,0
239,FRP,1.0,0,1,0,1,0
240,FSL,1.0,0,0,1,0,0
241,FSLR,1.0,0,0,1,0,0
242,FSTC,1.0,0,1,0,0,1
243,FTD,1.0,1,0,0,0,1
244,FTNT,1.0,0,1,1,0,0
245,FUQI,0.0,0,1,1,0,0
246,G,1.0,0,1,0,1,0
247,GASS,0.0,1,0,0,1,0
248,GEVO,1.0,0,0,0,0,1
249,GGL,1.0,0,1,1,0,0
250,GGS,1.0,0,1,0,1,0
251,GGXY,1.0,0,1,0,1,0
252,GHDX,1.0,0,0,0,0,1
253,GKIS,1.0,0,1,1,0,0
254,GLOG,1.0,0,1,0,1,0
255,GLUU,1.0,0,0,0,0,1
256,GMAN,1.0,0,1,0,1,0
257,GMED,1.0,0,1,1,0,0
258,GMET,1.0,0,0,0,1,0
259,GMTN,1.0,0,0,0,1,0
260,GNMK,0.0,0,0,1,0,0
261,GNOM,1.0,0,0,0,0,1
262,GNRC,1.0,0,1,1,0,0
263,GOLF,1.0,0,1,0,1,0
264,GOOG,1.0,0,1,0,0,1
265,GRPN,1.0,0,0,0,0,1
266,GSAT,1.0,0,1,0,1,0
267,GSE,0.0,1,0,1,0,0
269,GTEC,0.0,0,1,0,0,1
270,GTOP,0.0,1,0,1,0,0
271,GTXI,1.0,1,0,1,0,0
272,GUID,1.0,0,1,0,0,1
273,GWAY,1.0,0,1,0,0,1
274,GXDX,1.0,0,0,0,0,1
275,HCA,1.0,0,1,0,0,1
276,HCCI,1.0,0,1,0,1,0
277,HEES,1.0,1,0,0,0,1
278,HEM,1.0,0,0,1,0,0
279,HERO,1.0,1,0,0,1,0
280,HGG,1.0,0,1,0,1,0
281,HIRE,1.0,0,1,0,0,1
282,HITT,1.0,0,1,1,0,0
283,HLYS,1.0,0,1,1,0,0
284,HNSN,1.0,1,0,1,0,0
285,HOO,1.0,0,1,0,1,0
287,HPTX,0.0,1,0,1,0,0
288,HPY,1.0,0,1,0,1,0
289,HRZ,1.0,0,1,0,1,0
290,HS,1.0,0,1,0,1,0
291,HTZ,1.0,0,1,0,0,1
292,HUN,1.0,0,0,1,0,0
293,HURN,1.0,0,0,0,0,1
294,IBI,1.0,0,0,0,1,0
295,ICFI,1.0,0,1,0,0,1
296,ICPT,1.0,0,1,1,0,0
297,ICXT,1.0,0,0,1,0,0
298,IFO,0.0,0,1,0,1,0
299,IKAN,1.0,0,0,1,0,0
300,IL,1.0,0,0,0,0,1
301,ILSE,1.0,0,0,1,0,0
302,IMI,1.0,0,0,1,0,0
303,IMMC,1.0,0,0,1,0,0
304,INCX,0.0,0,1,0,0,1
305,INET,1.0,0,1,0,0,1
306,INHX,1.0,0,0,1,0,0
307,INPC,1.0,0,0,0,1,0
308,INVN,1.0,0,1,1,0,0
309,INWK,1.0,0,1,1,0,0
310,IOMI,1.0,1,0,1,0,0
311,IPAS,1.0,0,1,0,0,1
312,IPCM,1.0,0,0,0,0,1
313,IPDN,0.0,0,1,0,0,1
314,IPGP,1.0,0,1,1,0,0
315,IPHI,1.0,0,1,1,0,0
316,IPHS,1.0,0,1,0,1,0
317,IPI,1.0,0,1,0,1,0
318,IPMT,1.0,0,0,0,0,1
319,IRWD,1.0,0,0,1,0,0
320,ISLN,1.0,0,0,1,0,0
321,ITC,1.0,0,1,0,1,0
322,ITLN,1.0,0,0,1,0,0
323,IVII,0.0,0,1,0,0,1
324,IWA,1.0,0,1,0,1,0
325,JOR,1.0,0,0,0,1,0
326,KAR,1.0,0,0,0,1,0
327,KBAY,1.0,0,1,0,0,1
328,KCI,1.0,0,1,1,0,0
329,KEYW,0.0,0,0,0,0,1
331,KIOR,1.0,1,0,1,0,0
333,KNOL,1.0,0,0,0,1,0
334,KNTA,0.0,0,0,0,0,1
335,KNXA,0.0,0,0,0,0,1
336,KONA,0.0,0,1,0,1,0
337,KORS,1.0,0,1,1,0,0
338,KRA,1.0,0,1,1,0,0
339,LDIS,1.0,0,1,1,0,0
340,LGBT,0.0,0,0,0,0,1
341,LHCG,0.0,0,1,0,0,1
342,LIMC,0.0,0,1,0,1,0
343,LIMS,0.0,0,1,0,0,1
344,LINC,1.0,0,1,0,0,1
345,LLNW,1.0,0,0,0,0,1
346,LMAT,1.0,0,0,1,0,0
347,LNKD,1.0,0,1,0,0,1
348,LOCK,1.0,0,0,0,0,1
349,LOGM,1.0,0,0,0,0,1
350,LPI,1.0,0,1,0,1,0
351,LPR,1.0,0,1,0,1,0
352,LQDT,1.0,0,1,0,0,1
353,LTM,1.0,0,1,0,0,1
354,LULU,1.0,0,1,0,1,0
355,LUNA,0.0,0,0,0,0,1
356,LVS,1.0,0,1,0,0,1
358,MA,1.0,0,1,0,0,1
359,MACK,1.0,0,0,1,0,0
360,MAKO,1.0,0,0,1,0,0
361,MANU,1.0,0,1,0,0,1
362,MAPP,1.0,1,0,1,0,0
363,MASI,1.0,0,1,1,0,0
364,MATH,0.0,0,0,1,0,0
365,MBLX,1.0,0,0,0,0,1
366,MBRX,1.0,0,0,1,0,0
367,MCP,1.0,0,0,1,0,0
368,MDAS,1.0,0,1,0,0,1
369,MDMD,1.0,0,1,0,0,1
370,MDSO,1.0,0,1,0,0,1
371,MEDE,1.0,0,1,0,0,1
372,MEDH,1.0,0,1,0,0,1
373,MELA,0.0,1,0,1,0,0
374,MEMS,1.0,0,1,1,0,0
375,MEND,0.0,0,0,1,0,0
376,MFLX,0.0,0,1,1,0,0
377,MG,1.0,0,1,0,0,1
378,MHGC,1.0,0,0,0,0,1
379,MIPI,0.0,0,0,1,0,0
380,MJN,1.0,0,1,1,0,0
381,MKTG,1.0,0,1,0,0,1
382,MLNX,1.0,0,1,1,0,0
383,MM,1.0,0,0,0,0,1
384,MNKD,1.0,1,0,1,0,0
385,MNTA,1.0,0,0,1,0,0
386,MOH,1.0,0,1,0,1,0
387,MOTR,1.0,0,0,1,0,0
388,MOTV,1.0,0,1,0,0,1
389,MPO,1.0,0,1,0,1,0
390,MPWR,1.0,0,0,1,0,0
391,MRC,1.0,0,1,0,1,0
392,MRIN,1.0,0,0,0,0,1
393,MRT,0.0,0,1,0,1,0
394,MTDR,1.0,0,0,0,1,0
395,MTSI,1.0,0,0,1,0,0
396,MUSA,1.0,0,1,0,1,0
397,MXL,1.0,0,1,1,0,0
398,MYOG,1.0,0,0,1,0,0
399,N,1.0,0,0,0,0,1
402,NCIT,0.0,0,1,0,0,1
403,NCMI,1.0,0,0,0,0,1
404,NETL,1.0,0,0,1,0,0
405,NEXT,1.0,0,0,1,0,0
406,NGSX,1.0,1,0,1,0,0
407,NGVC,0.0,0,1,0,1,0
408,NHWK,1.0,0,0,0,0,1
409,NILE,1.0,0,1,0,1,0
411,NLC,1.0,0,0,1,0,0
412,NLSN,1.0,1,0,0,0,1
413,NOR,1.0,0,1,1,0,0
414,NOW,1.0,0,1,0,0,1
415,NPTN,1.0,0,1,1,0,0
417,NSE,1.0,0,0,0,1,0
418,NSPH,1.0,0,0,1,0,0
419,NSR,1.0,0,1,0,0,1
420,NSTC,1.0,0,1,0,0,1
421,NSTR,1.0,1,0,1,0,0
422,NTGR,1.0,0,0,1,0,0
423,NURO,1.0,0,0,1,0,0
424,NVT,1.0,0,1,0,0,1
425,NXPI,1.0,0,0,1,0,0
426,NXST,1.0,0,0,0,1,0
427,NXTM,1.0,0,0,1,0,0
428,NZ,1.0,0,0,1,0,0
429,OAS,1.0,0,0,0,1,0
430,OCLS,0.0,0,0,1,0,0
431,OCNF,1.0,1,0,0,1,0
432,ODMO,1.0,0,0,0,1,0
433,OESX,1.0,0,0,1,0,0
434,OLED,0.0,0,0,0,0,1
435,OMER,1.0,0,0,1,0,0
436,OMPI,1.0,0,1,1,0,0
437,OMRI,1.0,0,0,1,0,0
438,ONE,1.0,0,1,0,0,1
439,OPTM,1.0,0,0,1,0,0
440,OPTR,1.0,0,0,1,0,0
441,OPTT,1.0,0,0,1,0,0
442,OPXT,1.0,0,0,1,0,0
443,ORA,1.0,0,1,0,1,0
444,ORBC,1.0,0,1,0,1,0
445,OREX,1.0,0,0,1,0,0
446,OSIR,0.0,0,0,1,0,0
447,OVNT,1.0,0,1,0,1,0
448,OWW,1.0,0,0,0,1,0
449,P,1.0,0,0,0,0,1
450,PA,1.0,0,0,0,1,0
451,PANW,1.0,0,0,1,0,0
452,PAR,1.0,0,1,1,0,0
453,PAY,1.0,0,1,1,0,0
454,PBH,1.0,1,0,1,0,0
455,PCRX,0.0,0,0,1,0,0
456,PCS,1.0,0,1,0,1,0
457,PEC,1.0,0,1,0,1,0
458,PFMT,1.0,0,1,0,0,1
459,PFWD,1.0,0,0,0,0,1
460,PGTI,1.0,0,1,1,0,0
461,PHRM,1.0,0,0,1,0,0
462,PINN,1.0,0,0,0,1,0
463,PLOW,1.0,0,1,1,0,0
464,PLTE,0.0,0,1,1,0,0
465,PMII,1.0,0,0,1,0,0
466,PODD,1.0,0,0,1,0,0
467,PPO,1.0,0,0,1,0,0
468,PRAI,1.0,0,1,0,0,1
469,PRGN,1.0,0,1,0,1,0
470,PRLB,1.0,0,1,1,0,0
471,PRMW,0.0,0,0,0,1,0
472,PROJ,1.0,0,1,0,0,1
473,PRSC,0.0,0,0,0,0,1
474,PRSS,1.0,0,1,0,1,0
475,PRTS,1.0,1,0,0,1,0
476,PRVD,0.0,0,0,0,1,0
477,PSMI,1.0,0,0,1,0,0
478,PSPT,0.0,0,1,0,0,1
479,PTEK,0.0,1,0,1,0,0
480,PUMP,1.0,0,0,1,0,0
481,QLIK,1.0,0,1,0,0,1
482,QLTY,1.0,0,0,0,1,0
483,QLYS,1.0,0,1,0,0,1
484,QNST,1.0,0,1,0,0,1
485,QXM,1.0,0,1,1,0,0
486,RA,1.0,0,1,0,1,0
487,RACK,1.0,0,0,1,0,0
488,RAIL,1.0,0,0,1,0,0
489,RBCN,1.0,0,0,1,0,0
491,RDYN,1.0,0,0,1,0,0
492,REDE,0.0,0,0,0,1,0
493,REGI,1.0,0,1,1,0,0
494,REST,1.0,0,0,1,0,0
495,REXX,0.0,0,1,0,1,0
497,RHEO,1.0,0,0,1,0,0
498,RKUS,1.0,0,1,1,0,0
499,RLD,1.0,0,0,1,0,0
500,RLOC,1.0,0,1,0,0,1
501,RNDY,1.0,0,1,0,1,0
502,RNET,1.0,0,0,0,1,0
504,RNOW,1.0,0,0,0,0,1
505,ROC,1.0,0,0,1,0,0
506,ROLL,1.0,0,1,1,0,0
507,ROSG,1.0,1,0,1,0,0
508,ROX,0.0,0,0,1,0,0
509,RP,1.0,0,1,0,0,1
510,RRR,1.0,0,1,0,0,1
511,RRST,1.0,0,1,0,1,0
512,RRTS,1.0,0,1,0,1,0
513,RST,1.0,0,1,0,0,1
514,RUE,1.0,0,1,0,1,0
515,RVBD,1.0,0,0,1,0,0
516,SAI,1.0,0,1,0,0,1
517,SAVE,1.0,0,1,0,1,0
518,SB,1.0,0,1,0,1,0
519,SCMP,0.0,0,1,1,0,0
520,SCOP,1.0,0,0,1,0,0
521,SCOR,1.0,0,1,0,0,1
522,SCTY,1.0,0,1,0,1,0
523,SDXC,1.0,0,0,0,1,0
524,SEM,1.0,0,1,0,0,1
525,SENO,1.0,0,0,1,0,0
526,SFLY,1.0,0,1,0,0,1
527,SFSF,1.0,0,0,0,0,1
528,SGOC,0.0,0,1,1,0,0
529,SGTL,1.0,0,0,1,0,0
530,SGXP,1.0,0,0,1,0,0
531,SHMR,1.0,0,1,1,0,0
532,SHO,1.0,0,0,0,0,1
533,SHOR,1.0,0,1,1,0,0
534,SIRF,1.0,0,1,1,0,0
535,SIRT,1.0,1,0,1,0,0
536,SLCA,1.0,0,1,0,1,0
537,SLRY,1.0,0,0,0,0,1
538,SMA,1.0,0,1,1,0,0
539,SMBI,1.0,0,1,0,0,1
540,SMCI,1.0,0,1,1,0,0
541,SN,0.0,0,1,0,1,0
542,SNCR,1.0,0,1,0,0,1
543,SNMX,1.0,0,0,0,0,1
544,SNTA,1.0,1,0,1,0,0
545,SOLR,1.0,0,0,1,0,0
546,SOMX,1.0,1,0,1,0,0
547,SPLK,1.0,0,0,0,0,1
548,SPWR,1.0,0,0,1,0,0
549,SQI,0.0,0,1,0,0,1
550,SREV,1.0,0,0,0,0,1
551,SRVY,1.0,0,1,0,0,1
552,SSNC,1.0,0,1,0,0,1
553,SSNI,1.0,0,0,1,0,0
554,SSTK,1.0,0,1,0,0,1
555,ST,1.0,0,0,1,0,0
556,STAK,1.0,0,1,1,0,0
557,STAR,1.0,0,0,1,0,0
558,STNG,1.0,0,0,0,1,0
559,STRI,1.0,0,1,1,0,0
561,STXS,1.0,0,0,1,0,0
562,SUSS,1.0,0,0,0,1,0
563,SVR,1.0,0,0,0,1,0
564,SWFT,1.0,0,0,0,1,0
565,SWI,1.0,0,1,0,0,1
566,SWSI,0.0,0,1,0,1,0
567,SXC,1.0,0,1,1,0,0
568,SXE,1.0,0,0,0,1,0
569,SZYM,1.0,1,0,1,0,0
570,TARG,1.0,1,0,1,0,0
571,TAST,1.0,0,0,0,1,0
572,TBSI,1.0,0,1,0,1,0
573,TDG,1.0,0,1,1,0,0
574,TEA,1.0,0,1,0,1,0
575,TEU,1.0,1,0,0,1,0
576,TFM,1.0,0,1,0,1,0
577,TGH,1.0,0,1,0,0,1
578,THLD,1.0,1,0,1,0,0
579,THR,1.0,0,1,1,0,0
580,THRM,1.0,0,0,1,0,0
581,THRX,1.0,0,0,1,0,0
582,TIS,0.0,0,1,1,0,0
583,TITN,0.0,0,1,0,1,0
584,TLEO,1.0,0,0,0,0,1
585,TLVT,1.0,0,1,0,0,1
586,TMH,1.0,0,1,0,0,1
587,TNAV,1.0,0,1,0,0,1
588,TNDM,1.0,0,0,1,0,0
589,TNK,1.0,0,1,0,1,0
590,TOWR,1.0,0,0,1,0,0
591,TRAK,1.0,0,1,0,0,1
592,TRBN,1.0,0,0,1,0,0
593,TRCA,1.0,1,0,1,0,0
594,TRFC,1.0,0,0,0,0,1
595,TRGT,1.0,0,0,1,0,0
596,TRLA,1.0,0,0,0,0,1
598,TRS,1.0,0,0,1,0,0
599,TRW,1.0,1,0,1,0,0
600,TRX,1.0,0,0,1,0,0
601,TRXI,1.0,0,1,0,0,1
602,TSLA,1.0,0,0,1,0,0
603,TSON,1.0,0,0,1,0,0
604,TSRA,1.0,0,0,1,0,0
605,TSRO,1.0,1,0,1,0,0
606,TSRX,1.0,0,0,1,0,0
607,TTGT,1.0,0,1,0,0,1
608,TTPH,1.0,0,0,1,0,0
609,TTPY,1.0,0,1,1,0,0
610,TUMI,1.0,0,1,1,0,0
611,TWLL,1.0,0,1,1,0,0
612,TXRH,1.0,0,1,0,1,0
613,TYPE,1.0,0,1,0,0,1
616,UACL,0.0,1,0,0,1,0
617,UAPH,1.0,0,1,1,0,0
618,UBNT,1.0,0,0,1,0,0
619,UNCA,1.0,0,1,0,0,1
620,UPG,0.0,0,1,0,1,0
621,USBE,1.0,0,0,1,0,0
622,V,1.0,0,0,0,0,1
623,VCC,0.0,1,0,1,0,0
624,VCG,1.0,1,0,0,1,0
625,VCRA,1.0,0,0,1,0,0
626,VG,1.0,0,0,0,1,0
627,VIAC,1.0,0,0,0,0,1
628,VITC,0.0,0,0,0,0,1
629,VLCM,0.0,0,1,1,0,0
630,VLRX,1.0,0,0,1,0,0
631,VM,1.0,0,0,0,1,0
632,VNDA,1.0,1,0,1,0,0
633,VNTV,1.0,0,1,0,0,1
634,VNUS,1.0,0,0,1,0,0
635,VOCS,1.0,0,0,0,0,1
636,VOLC,1.0,0,0,1,0,0
637,VPRT,1.0,0,1,1,0,0
638,VQ,1.0,0,1,0,1,0
639,VRA,1.0,0,1,1,0,0
640,VRAD,1.0,0,0,0,0,1
641,VRAZ,1.0,0,0,0,0,1
642,VRGY,1.0,0,0,1,0,0
643,VRSK,1.0,0,1,0,0,1
644,VRTU,1.0,0,1,0,0,1
645,VSE,1.0,0,0,1,0,0
646,VSI,1.0,0,1,0,1,0
647,VSTM,1.0,1,0,1,0,0
648,VTUS,0.0,1,0,1,0,0
649,WAGE,0.0,0,1,0,0,1
650,WAIR,1.0,0,1,1,0,0
651,WBMD,1.0,0,1,0,0,1
652,WCAA,0.0,0,1,0,1,0
653,WCG,1.0,0,1,0,1,0
654,WCRX,1.0,0,0,1,0,0
655,WDAY,1.0,1,0,0,0,1
656,WIFI,1.0,0,1,0,0,1
657,WLDN,0.0,0,0,0,0,1
658,WLK,1.0,0,1,1,0,0
659,WLL,1.0,0,1,0,1,0
660,WLSC,1.0,0,0,0,0,1
661,WMG,1.0,0,0,0,0,1
662,WNR,1.0,0,1,1,0,0
663,WOLF,1.0,0,0,0,0,1
664,WSSI,0.0,0,0,0,0,1
665,WSTC,1.0,0,1,0,0,1
666,WTI,1.0,0,1,0,1,0
667,XCYT,0.0,0,0,1,0,0
668,XGEN,1.0,0,0,1,0,0
669,XPRT,1.0,0,0,0,0,1
670,XRM,1.0,0,0,1,0,0
671,XTNT,1.0,1,0,1,0,0
672,XTXI,0.0,1,0,0,1,0
673,Z,1.0,0,0,0,0,1
674,ZBB,0.0,0,0,0,1,0
676,ZINC,1.0,0,1,1,0,0
677,ZIP,1.0,0,0,0,0,1
678,ZLTQ,1.0,0,0,1,0,0
679,ZSTN,0.0,0,1,1,0,0
680,ZUMZ,1.0,0,1,0,1,0
681,ZZ,1.0,0,1,1,0,0
